nhda_id,observation_year,construction_start_year,years_since_construction_start,lon,lat,difference_LST,difference_NDVI,diff_res_subclass_share_mfh_ab,diff_res_subclass_share_sbd,diff_res_subclass_share_tb,diff_res_subclass_share_sfh_db,reldiff_building_volume_density,reldiff_building_density,reldiff_avg_building_footprint,reldiff_avg_building_height,reldiff_built_up_ratio,nhda_degurba_code,nhda_sur_class_2021,nhda_sur_class_2021_short,pre_construction_difference_LST,pre_construction_difference_NDVI,post_construction_difference_LST,post_construction_difference_NDVI
09171_6,2015,2014,1,12.642289419583316,48.092002702092756,0.3144578400000171,0.1876881027221679,27.27,0.0,0.0,-27.269999999999996,-44.00948991696323,35.95322273592603,-69.81897001565449,-18.9069423929099,-36.19846261355697,313,211,2,,,0.2789958824999914,-0.10014124584197996
09171_9,2015,2014,1,12.874963334705038,48.21097855478763,-0.43750655999997434,-0.3599176025390626,7.580000000000002,-7.07,0.0,-0.5100000000000051,42.51832686502802,52.61253110156075,0.6704229370230352,-16.56495204882302,53.25596389426176,311,231,2,,,1.1757988799999979,-0.20489850997924805
09175_1,2015,2014,1,11.766844566165842,48.11325496257709,-1.3945521599999893,-0.12996491432189944,32.79,-7.14,2.9299999999999997,-28.57,31.22793252255788,-12.609736632083004,30.320806599450044,27.386934673366838,17.88938125718037,223,211,2,,,-2.972566543500007,-0.1418783984184265
09177_10,2015,2014,1,12.180632216125309,48.33966339780056,-1.5893793000000187,-0.1532281494140625,-5.0,-40.0,0.0,45.0,-73.2321786430003,-58.454269321633475,4.578155657292348,-22.638563622170185,-54.222222222222236,312,211,2,,,-1.8428254830000015,0.07100268363952637
09178_1,2015,2014,1,11.92805379970086,48.477430923195506,-4.206728115000004,-0.16370525360107424,22.61,-10.610000000000003,-12.51,0.509999999999998,4.281597365170856,-18.72832369942196,8.477060083417873,3.714285714285711,-10.242990654205615,221,211,2,,,-2.3022073709999957,-0.12325705766677857
09178_7,2015,2014,1,11.752838834917132,48.32478946426492,-2.2217129999999656,-0.046031570434570346,-54.94,46.15,0.0,8.79,-45.30755125854309,62.82245827010621,-89.27882242067943,-27.085852478839183,-30.73510773130544,221,211,2,,,-0.8757821744999958,-0.0453051381111145
09178_17,2015,2014,1,11.854143612668713,48.55108571907108,-0.3212938799999847,-0.17067237854003908,5.85,0.5800000000000001,0.0,-6.429999999999993,-17.320946958345818,-30.500000000000004,9.225310467179197,2.5477707006369448,-21.40530479292693,313,211,2,,,-0.2977949925000047,-0.08960965538024904
09182_2,2015,2014,1,11.734825028669869,47.76161686417112,-2.777141250000028,-0.09895190238952639,-13.33,-29.17,0.0,42.5,-43.417517463729176,0.5838469023678342,-28.837089171563246,-3.659506762132067,-28.284098051539914,221,231,2,,,-1.9644215445,-0.04776651954650879
09183_3,2015,2014,1,12.41967799019101,48.27817645291056,-6.16781709,-0.28001513481140133,0.0,11.11,0.0,-11.11,18.966644865925446,0.9569377990430594,19.10168882500898,1.5062761506276128,20.052145058070636,313,211,2,,,-2.3686878600000014,-0.15268075466156006
09183_5,2015,2014,1,12.361874624698538,48.19783917825286,-0.2102082299999779,-0.20618391990661622,13.250000000000002,-1.4499999999999993,-46.55,34.760000000000005,-12.525727727139069,-42.066420664206646,30.040739998664268,2.344454463480611,-12.389380530973455,313,211,2,,,-0.32223383549999907,-0.15324458312988282
09183_13,2015,2014,1,12.416865010109026,48.25000909844311,0.14355684000000224,-0.18484569549560548,8.18,23.64,0.0,-31.82,26.26262626262626,2.6331538001196964,12.321551263455225,16.905901116427426,14.928098607623827,221,211,2,,,0.4436589959999921,-0.24164715385437008
09189_6,2015,2014,1,12.540313146680743,48.11240104519352,-3.7410228900000675,-0.2000300312042236,6.42,6.42,0.0,-12.829999999999998,-27.58902988129349,-44.35837851794474,12.090972383383617,1.7501988862370632,-32.736106893410266,312,211,2,,,-2.758342140000013,-0.1544944705963135
09261_2,2015,2014,1,12.184066227664621,48.555924830530564,-3.014693640000033,-0.1990153121948242,4.380000000000001,-17.65,0.0,13.27000000000001,-11.024734982332166,4.081632653061223,17.68491070783023,-28.973843058350106,21.70686456400742,221,211,2,,,-1.6390260405000034,-0.20893211460113528
09261_4,2015,2014,1,12.080468063881263,48.532153846546805,-2.6455474800000047,-0.036452693939209024,4.55,-22.62,-14.190000000000001,32.260000000000005,-50.591016548463344,-50.91758425091759,20.21792730454148,-21.09704641350211,-31.487198111494468,221,211,2,,,-1.4514621929999918,-0.09729594326019288
09261_5,2015,2014,1,12.122388807523079,48.544163278377184,-2.3695423649999725,-0.2174646759033203,50.0,-60.0,25.0,-15.0,7.892976588628765,-39.95387719803977,56.45613278723862,-12.624584717607986,17.517286796180443,130,231,2,,,-1.8842689755000124,-0.16858390045166016
09262_1,2015,2014,1,13.437370682118546,48.58904666144561,-7.77001396499999,-0.16378025054931644,-0.7999999999999998,9.31,-66.67,58.14999999999999,-50.59984004265529,-52.73710592270149,24.988627748294157,-15.93495934959349,-28.701406120760954,221,211,2,,,-4.017455257499995,-0.06858396148681642
09271_6,2015,2014,1,13.173332999932862,48.75881792318877,-2.8437926400000038,0.22512748718261716,0.0,-22.22,0.0,22.22,10.649960845732176,22.11076280041797,1.3580328301140498,-11.631663974151856,23.45814977973567,313,121,1,,,-1.6362061740000087,-0.0697188425064087
09271_8,2015,2014,1,13.057449078149034,48.78345460103471,-0.9638816399999826,-0.2675189018249512,-30.77,40.0,20.0,-29.230000000000004,-45.19326065411298,-3.6984352773826377,-25.169754103764262,-16.15686274509803,-28.77455565949486,221,211,2,,,-0.9013318739999931,-0.10754256820678712
09271_9,2015,2014,1,13.066547513560378,48.77368983517304,-0.7024031100000059,-0.24357515335083008,-10.91,41.22,0.0,-30.310000000000002,-63.448676940971225,-21.67982770997846,-29.046479405466684,-15.481832543443923,-49.93324432576769,221,231,2,,,-1.1279465999999985,-0.20231609630584715
09271_11,2015,2014,1,12.958091316484373,48.73899289983786,-1.5893792999999619,-0.38723367691040045,-9.53,0.0,0.0,9.530000000000001,-20.43984476067271,48.735991660151164,-43.549488054607515,-28.15033161385409,5.410821643286565,313,211,2,,,-0.45006778349997917,-0.266648428440094
09271_15,2015,2014,1,13.023685105083048,48.77047543204098,-1.3407183450000275,-0.0924945640563965,0.0,54.620000000000005,0.0,-54.62,-6.471306471306478,37.546343107516016,-33.9043722833035,-19.02017291066283,3.7586547972304625,221,211,2,,,-0.3140305874999953,-0.09793089294433593
09272_2,2015,2014,1,13.625105234536164,48.7222696076587,-2.637002430000024,0.0667994117736816,0.8600000000000003,24.0,0.0,-24.86,-15.127455077308804,-20.21799529814063,-2.327365728900247,4.566210045662101,-22.549822549822547,312,211,2,,,-0.7070174370000017,-0.10578744983673097
09273_2,2015,2014,1,11.860429758198913,48.91447432687092,-7.596549449999955,-0.15931809425354002,-15.54,-15.54,-15.15,52.31,-129.31447225244833,-55.1605785731797,-40.53751399776036,-36.72814755412991,-90.6412478336222,221,311,3,,,-6.007682852999994,0.11561124038696291
09273_8,2015,2014,1,12.015717702309423,48.890283235203015,-3.265918110000001,-0.28078503608703614,-4.289999999999999,0.0,0.0,4.290000000000006,-23.67288378766139,-7.2783584978706894,-12.16532015757495,-13.194444444444443,-19.448026824864588,313,211,2,,,-0.4695504975000091,-0.14344080162048342
09274_1,2015,2014,1,12.297482714916816,48.699532832189895,1.5757072200000266,-0.147454891204834,15.38,4.270000000000001,0.0,-19.659999999999997,28.61026163778458,24.27302803412851,14.420504154344455,-10.696920583468398,38.34750911300122,312,211,2,,,0.4609199970000176,-0.1328885326385498
09274_2,2015,2014,1,12.268260700564467,48.63958152065096,-2.6472564899999895,-0.23903278350830076,-2.03,-11.76,0.0,13.800000000000011,-34.61538461538462,-0.5738488864599012,-35.98489779976565,0.9803921568627533,-36.51555555555556,311,211,2,,,-1.7057628810000025,-0.14085956096649171
09274_9,2015,2014,1,12.264831484877,48.36455140813274,-1.2749214599999732,-0.3026511478424072,13.75,-7.5,-20.0,13.75,-31.40608963393774,-70.09376010345943,37.91309239206863,6.884377758164176,-34.48611787627862,311,211,2,,,-0.21140453700000705,-0.08080980587005615
09274_14,2015,2014,1,12.255801329112263,48.46588878247285,-3.0933080999999447,-0.27508140087127686,4.73,-14.769999999999996,4.41,5.630000000000003,10.611013326628104,11.253701875616985,8.721403716591398,-13.83458646616541,19.91666666666667,222,211,2,,,-0.4290469604999913,-0.21428949213027954
09274_22,2015,2014,1,12.161191590674836,48.44441725635623,-4.983473160000017,-0.18151609420776366,1.58,-11.11,0.0,9.530000000000001,-40.16133679055028,-43.51678309763161,17.965169569202562,-19.844961240310084,-26.075085324232084,312,211,2,,,-2.991536554500006,-0.04580571269989011
09275_3,2015,2014,1,13.185571478799703,48.61845358829941,-2.872845810000001,0.03531724929809571,-1.8200000000000003,6.18,-2.1,-2.259999999999998,-7.5639599555061245,-15.413242363157064,25.230438000403687,-0.7029876977152907,9.900990099009906,221,211,2,,,-2.0873848139999893,-0.10926435756683348
09275_6,2015,2014,1,13.152713795081942,48.498320700214336,-2.016631799999999,-0.2996132183074951,6.67,-11.11,0.0,4.439999999999998,-30.416068866571027,-39.91283820591974,18.366616562880253,-2.5359256128486956,-21.92796610169492,312,211,2,,,-0.8492925195000083,-0.06971218204498289
